InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
    2720000       0.909313  1.349706e-05        95.831998         2.538422        94.777502         2.327144  0.45  0.22664
    2730000       0.897307  1.341543e-05        95.816689         2.785130        94.738252         2.299647  0.55  0.21189
    2740000       0.885570  1.337243e-05        97.186815         2.846396        95.560890         2.275291  0.47  0.22559
    2750000       0.874001  1.336182e-05        94.432536         1.435701        94.537783         2.246080  0.51  0.22062
    2760000       0.862543  1.340725e-05        97.013152         2.977938        95.881932         2.214212  0.49  0.22358
    2770000       0.851290  1.326685e-05        96.159775         2.012411        94.953990         2.191161  0.48  0.22471
    2780000       0.840250  1.321145e-05        94.645834         1.805780        95.167111         2.165753  0.42  0.22639
    2790000       0.829386  1.273923e-05        96.608148         3.081409        94.729613         2.139879  0.37  0.22109
    2800000       0.818713  1.306286e-05        93.633865         1.851880        93.875084         2.116901  0.57  0.20616
    2810000       0.808240  1.285533e-05        95.176274         2.676632        93.209062         2.094103  0.47  0.22559
    2820000       0.797982  1.282340e-05        93.463302         1.817091        94.718418         2.073561  0.49  0.22358
    2830000       0.787908  1.245660e-05        94.544089         2.082726        93.839548         2.048096  0.32  0.20971
    2840000       0.778004  1.282458e-05        95.947767         2.334953        94.373169         2.026733  0.53  0.21672
    2850000       0.768234  1.264840e-05        95.385168         2.250667        94.261483         2.002295  0.44  0.22680
    2860000       0.758614  1.278117e-05        94.555662         2.675712        93.674219         1.978466  0.46  0.22624
    2870000       0.749182  1.231201e-05        94.452693         2.590258        94.641867         1.960495  0.48  0.22471
    2880000       0.739951  1.258703e-05        93.937260         1.666188        93.862754         1.939627  0.47  0.22559
    2890000       0.730846  1.254897e-05        93.672996         2.182814        92.938876         1.915184  0.43  0.22671
    2900000       0.721873  1.252650e-05        93.278415         1.667077        94.078791         1.895286  0.49  0.22358
    2910000       0.713038  1.241279e-05        93.252147         2.614817        93.026986         1.875338  0.44  0.22680
    2920000       0.704345  1.237573e-05        95.252616         2.527670        94.212284         1.853714  0.42  0.22639
    2930000       0.695813  1.233670e-05        93.722307         2.511992        93.010662         1.833790  0.41  0.22582
    2940000       0.687435  1.229865e-05        93.513412         3.901874        91.665118         1.816002  0.35  0.21726
